Position,Var Name,Variable Label,VaR lab English,Value,Value Label,VaL lab English,Missing Values
159,mas02c,Niet/wel laag moleculair gewicht heparine, ,    1,Ja, , 
159,mas02c,Niet/wel laag moleculair gewicht heparine, ,    9,Missend, , 
160,mas03,Niet/wel DOAC (specifieke stollingseiwit remmer), ,    0,Nee, , 
160,mas03,Niet/wel DOAC (specifieke stollingseiwit remmer), ,    1,Ja, , 
160,mas03,Niet/wel DOAC (specifieke stollingseiwit remmer), ,    9,Missend, , 
161,mmpr,Niet/wel medicatie bij microprote?nurie, ,    0,Nee, ,9
161,mmpr,Niet/wel medicatie bij microprote?nurie, ,    1,Ja, ,9
161,mmpr,Niet/wel medicatie bij microprote?nurie, ,    9,Missend, ,9
162,mhmc,Niet/wel medicatie bij hyperhomocyste?nemie, ,    0,Nee, ,9
162,mhmc,Niet/wel medicatie bij hyperhomocyste?nemie, ,    1,Ja, ,9
162,mhmc,Niet/wel medicatie bij hyperhomocyste?nemie, ,    9,Missend, ,9
163,mgl01,Niet/wel glucoseverlagende middelen, ,    0,Nee, ,9
163,mgl01,Niet/wel glucoseverlagende middelen, ,    1,Ja, ,9
163,mgl01,Niet/wel glucoseverlagende middelen, ,    9,Missend, ,9
164,mgl02,Niet/wel insulines, ,    0,Nee, ,9
164,mgl02,Niet/wel insulines, ,    1,Ja, ,9
164,mgl02,Niet/wel insulines, ,    9,Missend, ,9
165,mgl03,GLP-1-agonist, ,    0,Nee, ,9
